Date,Shock (UTC),Vacuum Trigger,Δt (sec),Penalty (BPS),Loss (SEK),Detected,EURNOK_Penalty_BPS,Actual_Rate,Previous_Rate,Policy_Surprise
2023-09-21 08:30:00,07:30:00,07:28:26.220,93.78,0.78,78.1,True,4.194459845426597,4.0,3.75,0.25
2023-11-23 08:30:00,08:30:00,08:27:04.150,175.85,2.41,241.07,True,0.4278842725278013,4.0,4.0,0.0
2024-02-01 08:30:00,08:30:00,08:29:28.301,31.699,9.29,928.77,True,0.5315801840541421,4.0,4.0,0.0
2024-05-08 08:30:00,07:30:00,07:27:40.485,139.515,2.24,224.26,True,-0.6899513989108237,3.75,4.0,0.25
2024-06-27 08:30:00,07:30:00,07:28:26.361,93.639,1.6,159.79,True,4.945994082324647,3.75,3.75,0.0
2024-08-20 08:30:00,07:30:00,07:25:16.311,283.689,0.37,37.24,True,5.63207102837905,3.5,3.75,0.25
2024-09-25 08:30:00,07:30:00,07:27:54.367,125.633,2.94,293.86,True,3.6290282737429673,3.25,3.5,0.25
2024-11-07 08:30:00,08:30:00,08:28:00.801,119.199,4.28,428.39,True,2.1523104577758074,2.75,3.25,0.5
2024-12-19 08:30:00,08:30:00,No Trigger,0.0,0.0,0.0,False,3.091169257534714,2.5,2.75,0.25
2025-02-06 08:30:00,08:30:00,No Trigger,0.0,0.0,0.0,False,0.3992500058112277,2.5,2.5,0.0
2025-03-27 08:30:00,07:30:00,No Trigger,0.0,0.0,0.0,False,1.019768986153086,2.25,2.5,0.25
2025-05-14 08:30:00,07:30:00,No Trigger,0.0,0.0,0.0,False,1.3077613479337191,2.25,2.25,0.0
2025-06-24 08:30:00,07:30:00,07:29:05.730,54.27,3.47,346.79,True,0.4725746267877005,2.0,2.25,0.25
2025-08-20 08:30:00,07:30:00,07:29:18.510,41.49,1.79,179.27,True,4.017558696690655,2.0,2.0,0.0
2025-09-25 08:30:00,07:30:00,No Trigger,0.0,0.0,0.0,False,1.273146158026664,1.75,2.0,0.25
2025-11-06 08:30:00,08:30:00,No Trigger,0.0,0.0,0.0,False,1.5495734980046851,1.75,1.75,0.0
2025-12-18 08:30:00,08:30:00,No Trigger,0.0,0.0,0.0,False,1.0938476416084717,1.75,1.75,0.0
2026-02-05 08:30:00,08:30:00,No Trigger,0.0,0.0,0.0,False,0.3431730744206558,1.5,1.75,0.25
2026-03-26 08:30:00,07:30:00,No Trigger,0.0,0.0,0.0,False,0.540104744552755,1.5,1.5,0.0
